Name,Description,Price,ImageUrl,CategoryName,Stock
iPhone 15 Pro,Apple'ın en yeni flagship telefonu,45000,https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=400,Elektronik,50
Samsung Galaxy S24,Android'in güçlü telefonu,35000,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,Elektronik,75
MacBook Pro M3,Apple'ın profesyonel laptop'u,65000,https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=400,Elektronik,30
Nike Air Max 90,Klasik spor ayakkabı,2500,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,Ayakkabı,100
Adidas Ultraboost,Koşu ayakkabısı,3000,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?w=400,Ayakkabı,80
Chanel No. 5 Parfüm,Efsanevi kadın parfümü,12000,https://images.unsplash.com/photo-1541643600914-78b084683601?w=400,Kozmetik,45
MAC Ruby Woo Ruj,Mat kırmızı ruj,800,https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=400,Kozmetik,120
Michael Kors Çanta,Deri el çantası,6000,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=400,Çanta,60
Levi's 501 Jean,Klasik kot pantolon,2000,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,Giyim,90
Harry Potter Set,7 kitap seti,1500,https://images.unsplash.com/photo-1544947950-fa07a98d237f?w=400,Kitap,40











