name,description,price,stock,categoryId,imagePath,filename
Turtle Check Men Navy Blue Shirt,Shirts - Navy Blue - Fall,,100,3,images/giyim/15970.jpg,15970.jpg
Peter England Men Party Blue Jeans,Jeans - Blue - Summer,,100,3,images/giyim/39386.jpg,39386.jpg
Manchester United Men Solid Black Track Pants,Track Pants - Black - Fall,,100,3,images/giyim/21379.jpg,21379.jpg
Puma Men Grey T-shirt,Tshirts - Grey - Summer,,100,3,images/giyim/53759.jpg,53759.jpg
Inkfruit Mens Chain Reaction T-shirt,Tshirts - Grey - Summer,,100,3,images/giyim/1855.jpg,1855.jpg
Fabindia Men Striped Green Shirt,Shirts - Green - Summer,,100,3,images/giyim/30805.jpg,30805.jpg
Jealous 21 Women Purple Shirt,Shirts - Purple - Summer,,100,3,images/giyim/26960.jpg,26960.jpg
Reid & Taylor Men Check Purple Shirts,Shirts - Purple - Fall,,100,3,images/giyim/12369.jpg,12369.jpg
Gini and Jony Girls Knit White Top,Tops - White - Summer,,100,3,images/giyim/42419.jpg,42419.jpg
Bwitch Beige Full-Coverage Bra BW335,Bra - Beige - Summer,,100,3,images/giyim/51832.jpg,51832.jpg
ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Sweatshirts - Grey - Fall,,100,3,images/giyim/13089.jpg,13089.jpg
Fila Men's Round Neck Navy Blue T-shirt,Tshirts - Navy Blue - Fall,,100,3,images/giyim/7990.jpg,7990.jpg
John Players Men Navy Blue Shirt,Shirts - Navy Blue - Summer,,100,3,images/giyim/37812.jpg,37812.jpg
Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Tshirts - Green - Summer,,100,3,images/giyim/4729.jpg,4729.jpg
John Players Men Brown Shirt,Shirts - Brown - Summer,,100,3,images/giyim/56825.jpg,56825.jpg
Diva Women Embroided Green Kurta,Kurtas - Green - Fall,,100,3,images/giyim/20099.jpg,20099.jpg
Jealous 21 Women's Pink T-shirt,Tshirts - Pink - Summer,,100,3,images/giyim/3954.jpg,3954.jpg
W Women Printed Beige Kurta,Kurtas - Beige - Summer,,100,3,images/giyim/28690.jpg,28690.jpg
Scullers Men  Grey Waistcoat,Waistcoat - Grey - Fall,,100,3,images/giyim/8580.jpg,8580.jpg
Puma Men Long Logo Black Bermuda,Shorts - Black - Summer,,100,3,images/giyim/18005.jpg,18005.jpg
Levis Men Boxer Maroon Brief,Briefs - Maroon - Winter,,100,3,images/giyim/17871.jpg,17871.jpg
John Miller Men Stripes White Red Shirts,Shirts - Red - Fall,,100,3,images/giyim/9452.jpg,9452.jpg
Vishudh Women Brown Kurta,Kurtas - Brown - Summer,,100,3,images/giyim/45856.jpg,45856.jpg
Playboy Men Blue Titanium Briefs,Briefs - Blue - Summer,,100,3,images/giyim/32138.jpg,32138.jpg
Puma Men's Stripe Polo Black T-shirt,Tshirts - Black - Summer,,100,3,images/giyim/5891.jpg,5891.jpg
Nike Women Purple Polo T-shirt,Tshirts - Purple - Summer,,100,3,images/giyim/38630.jpg,38630.jpg
Gini and Jony Boy's Kaleb White Brown Kidswear,Shirts - White - Summer,,100,3,images/giyim/4943.jpg,4943.jpg
Wrangler Men Motor Rider Red T-Shirts,Tshirts - Red - Fall,,100,3,images/giyim/10866.jpg,10866.jpg
FNF Pink & Grey Wedding Collection Sari,Sarees - Grey - Fall,,100,3,images/giyim/59607.jpg,59607.jpg
Puma Men Scribble Black Tshirts,Tshirts - Black - Fall,,100,3,images/giyim/15528.jpg,15528.jpg
Do U Speak Green Men Blue Shorts,Shorts - Blue - Summer,,100,3,images/giyim/54924.jpg,54924.jpg
Indigo Nation Men Reversible Bling Pink Shirts,Shirts - Pink - Fall,,100,3,images/giyim/9660.jpg,9660.jpg
Nike Women Black T-shirt,Tshirts - Black - Fall,,100,3,images/giyim/2288.jpg,2288.jpg
ADIDAS Men Blue Sweatshirt,Sweatshirts - Blue - Fall,,100,3,images/giyim/23876.jpg,23876.jpg
Manchester United Men Solid Red Tshirt,Tshirts - Red - Fall,,100,3,images/giyim/18237.jpg,18237.jpg
Mineral Women Green Top,Tops - Green - Summer,,100,3,images/giyim/49653.jpg,49653.jpg
United Colors of Benetton Men Solid Pink Polo T-shirts,Tshirts - Pink - Summer,,100,3,images/giyim/13419.jpg,13419.jpg
Levis Men Comfort Style Grey Innerwear Vest,Innerwear Vests - Grey - Summer,,100,3,images/giyim/17885.jpg,17885.jpg
Tonga Women Maroon Top,Tops - Off White - Summer,,100,3,images/giyim/58513.jpg,58513.jpg
Just Natural Unisex Charcoal Rain Jacket,Rain Jacket - Coffee Brown - Summer,,100,3,images/giyim/52029.jpg,52029.jpg
ADIDAS Men's Twelve Faster T-shirt,Tshirts - Black - Summer,,100,3,images/giyim/5865.jpg,5865.jpg
Arrow Woman Women Blue Dress,Dresses - Blue - Summer,,100,3,images/giyim/39716.jpg,39716.jpg
Levis Men Red Brief,Briefs - Red - Summer,,100,3,images/giyim/25349.jpg,25349.jpg
SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,Night suits - White - Summer,,100,3,images/giyim/55802.jpg,55802.jpg
Indigo Nation Men Printed Black T-shirt,Tshirts - Black - Summer,,100,3,images/giyim/29584.jpg,29584.jpg
Urban Yoga Women Blue Skirt With Leggings,Skirts - Blue - Summer,,100,3,images/giyim/28456.jpg,28456.jpg
Gini and Jony Girls Black Top,Tops - Black - Summer,,100,3,images/giyim/34009.jpg,34009.jpg
Classic Polo Men Vulcan White Polo Tshirts,Tshirts - White - Fall,,100,3,images/giyim/9694.jpg,9694.jpg
Turtle Check Men Yellow Shirt,Shirts - Yellow - Fall,,100,3,images/giyim/15984.jpg,15984.jpg
